ARRIVALS,,,,
#sitename,,,,
#onset,,,,
#first motion,,,,
#phase,,,,
#year month day,,,,
#hour minute,,,,
#second,,,,
#uncertainty in seconds,,,,
#peak amplitude,,,,
#frequency at P phase,,,,
,,,,
TIME SERIES,,,,
LLPS,LLPS,LLPS,#sitename,
EHE _,EHN _,EHZ _,#component,
unnamed,unnamed,unnamed,#authority,
20180828,20180828,20180828,#year month day,
438,438,438,#hour minute,
7.112,7.112,7.112,#second,
100,100,100,#samples per second,
27126,27126,27126,#number of samples,
0,0,0,#sync,
,,,#sync source,
--------,--------,--------,,
702,-2226,428,986,
705,-2205,387,987,
757,-2219,352,988,
796,-2155,353,989,
736,-2176,299,990,
751,-2118,215,991,
752,-2105,233,992,
777,-2245,206,993,
837,-2264,240,994,
815,-2338,242,995,
789,-2266,207,996,
745,-2236,290,997,
703,-2294,282,998,
755,-2241,271,999,
843,-2221,297,1000,
853,-2177,359,1001,
866,-2166,461,1002,
843,-2181,448,1003,
777,-2213,473,1004,
792,-2236,489,1005,
826,-2305,434,1006,
869,-2329,383,1007,
899,-2289,342,1008,
922,-2161,358,1009,
919,-2087,331,1010,
881,-2162,352,1011,
882,-2135,394,1012,
918,-2169,331,1013,
868,-2153,325,1014,
889,-2116,366,1015,
941,-2125,401,1016,
847,-2155,364,1017,
932,-2181,287,1018,
878,-2153,316,1019,
857,-2197,328,1020,
908,-2256,329,1021,
841,-2320,343,1022,
929,-2329,235,1023,
846,-2283,240,1024,
912,-2265,274,1025,
929,-2336,223,1026,
872,-2329,294,1027,
917,-2260,297,1028,
816,-2281,289,1029,
868,-2317,276,1030,
877,-2320,208,1031,
841,-2258,220,1032,
849,-2226,185,1033,
861,-2230,190,1034,
877,-2294,251,1035,
891,-2374,244,1036,
854,-2306,270,1037,
821,-2286,318,1038,
810,-2354,355,1039,
791,-2388,347,1040,
903,-2410,302,1041,
888,-2327,372,1042,
926,-2202,444,1043,
954,-2200,492,1044,
901,-2223,567,1045,
911,-2206,531,1046,
796,-2158,518,1047,
758,-2109,519,1048,
758,-2173,483,1049,
784,-2137,456,1050,
776,-2118,364,1051,
771,-2133,325,1052,
783,-2159,304,1053,
808,-2256,267,1054,
908,-2199,262,1055,
880,-2219,257,1056,
866,-2217,263,1057,
848,-2224,251,1058,
866,-2214,299,1059,
859,-2197,380,1060,
848,-2265,409,1061,
850,-2306,459,1062,
774,-2370,510,1063,
758,-2286,436,1064,
713,-2259,378,1065,
769,-2266,387,1066,
830,-2287,347,1067,
860,-2343,324,1068,
911,-2243,354,1069,
864,-2150,429,1070,
819,-2154,422,1071,
796,-2160,408,1072,
785,-2174,419,1073,
812,-2169,420,1074,
810,-2166,478,1075,
824,-2276,503,1076,
866,-2307,476,1077,
789,-2235,432,1078,
756,-2125,469,1079,
659,-2084,493,1080,
651,-2148,455,1081,
811,-2172,403,1082,
784,-2182,342,1083,
831,-2219,364,1084,
851,-2241,371,1085,
879,-2212,363,1086,
927,-2268,343,1087,
896,-2285,333,1088,
962,-2280,367,1089,
865,-2309,349,1090,
900,-2253,338,1091,
906,-2245,355,1092,
764,-2226,377,1093,
848,-2197,361,1094,
826,-2191,266,1095,
863,-2215,204,1096,
906,-2203,217,1097,
817,-2245,167,1098,
883,-2330,134,1099,
923,-2233,220,1100,
958,-2239,223,1101,
1014,-2249,267,1102,
929,-2285,329,1103,
946,-2397,248,1104,
960,-2412,214,1105,
951,-2471,185,1106,
1004,-2410,165,1107,
